timestamp,event_type,details
2025-02-10 18:16:20,App Switch,"{'previous_window': 'Focus Forge AI Agent', 'new_window': 'Session Reset', 'duration_in_previous_window': 3.6}"
2025-02-10 18:16:20,Distraction,{'window': 'Session Reset'}
2025-02-10 18:16:22,Distraction,{'window': 'Session Reset'}
2025-02-10 18:16:25,App Switch,"{'previous_window': 'Session Reset', 'new_window': 'Focus Forge AI Agent', 'duration_in_previous_window': 5.0}"
2025-02-10 18:16:25,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:16:27,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:16:30,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:16:32,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:16:35,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:16:37,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:16:40,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:16:42,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:16:45,App Switch,"{'previous_window': 'Focus Forge AI Agent', 'new_window': 'distraction_log.json - FocusForge - Cursor', 'duration_in_previous_window': 20.01}"
2025-02-10 18:16:45,Work App Usage,{'window': 'distraction_log.json - FocusForge - Cursor'}
2025-02-10 18:16:47,Work App Usage,{'window': 'distraction_log.json - FocusForge - Cursor'}
2025-02-10 18:16:50,Work App Usage,{'window': 'distraction_log.json - FocusForge - Cursor'}
2025-02-10 18:16:52,App Switch,"{'previous_window': 'distraction_log.json - FocusForge - Cursor', 'new_window': 'Focus Forge AI Agent', 'duration_in_previous_window': 6.58}"
2025-02-10 18:16:52,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:16:55,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:16:57,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:17:00,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:17:02,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:17:05,App Switch,"{'previous_window': 'Focus Forge AI Agent', 'new_window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera', 'duration_in_previous_window': 13.49}"
2025-02-10 18:17:05,Distraction,{'window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:17:07,App Switch,"{'previous_window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera', 'new_window': 'Jump List for Cursor', 'duration_in_previous_window': 1.51}"
2025-02-10 18:17:07,Work App Usage,{'window': 'Jump List for Cursor'}
2025-02-10 18:17:10,Work App Usage,{'window': 'Jump List for Cursor'}
2025-02-10 18:17:12,Work App Usage,{'window': 'Jump List for Cursor'}
2025-02-10 18:17:15,Work App Usage,{'window': 'Jump List for Cursor'}
2025-02-10 18:17:17,Work App Usage,{'window': 'Jump List for Cursor'}
2025-02-10 18:17:20,Work App Usage,{'window': 'Jump List for Cursor'}
2025-02-10 18:17:22,Work App Usage,{'window': 'Jump List for Cursor'}
2025-02-10 18:17:25,App Switch,"{'previous_window': 'Jump List for Cursor', 'new_window': 'Cursor', 'duration_in_previous_window': 18.55}"
2025-02-10 18:17:25,Work App Usage,{'window': 'Cursor'}
2025-02-10 18:17:27,App Switch,"{'previous_window': 'Cursor', 'new_window': 'Open Folder', 'duration_in_previous_window': 1.55}"
2025-02-10 18:17:27,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:30,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:32,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:35,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:37,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:40,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:42,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:45,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:47,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:50,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:52,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:55,Distraction,{'window': 'Open Folder'}
2025-02-10 18:17:57,App Switch,"{'previous_window': 'Open Folder', 'new_window': 'Cursor', 'duration_in_previous_window': 30.11}"
2025-02-10 18:17:57,Work App Usage,{'window': 'Cursor'}
2025-02-10 18:18:00,App Switch,"{'previous_window': 'Cursor', 'new_window': 'Workbench - Cursor', 'duration_in_previous_window': 3.42}"
2025-02-10 18:18:00,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:02,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:05,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:07,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:10,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:12,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:16,App Switch,"{'previous_window': 'Workbench - Cursor', 'new_window': 'ChatGPT', 'duration_in_previous_window': 15.04}"
2025-02-10 18:18:16,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:18:17,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'Workbench - Cursor', 'duration_in_previous_window': 1.58}"
2025-02-10 18:18:17,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:21,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:22,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:26,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:27,Work App Usage,{'window': 'Workbench - Cursor'}
2025-02-10 18:18:31,App Switch,"{'previous_window': 'Workbench - Cursor', 'new_window': 'test_content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 13.46}"
2025-02-10 18:18:31,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:18:32,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:18:36,App Switch,"{'previous_window': 'test_content_manager.py - Workbench - Cursor', 'new_window': 'content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 5.03}"
2025-02-10 18:18:36,Work App Usage,{'window': 'content_manager.py - Workbench - Cursor'}
2025-02-10 18:18:37,App Switch,"{'previous_window': 'content_manager.py - Workbench - Cursor', 'new_window': 'test_content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 1.55}"
2025-02-10 18:18:37,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:18:41,App Switch,"{'previous_window': 'test_content_manager.py - Workbench - Cursor', 'new_window': 'ChatGPT', 'duration_in_previous_window': 3.45}"
2025-02-10 18:18:41,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:18:42,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'test_content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 1.55}"
2025-02-10 18:18:42,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:18:46,App Switch,"{'previous_window': 'test_content_manager.py - Workbench - Cursor', 'new_window': 'ChatGPT', 'duration_in_previous_window': 3.45}"
2025-02-10 18:18:46,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:18:47,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 1.56}"
2025-02-10 18:18:47,Work App Usage,{'window': 'content_manager.py - Workbench - Cursor'}
2025-02-10 18:18:51,App Switch,"{'previous_window': 'content_manager.py - Workbench - Cursor', 'new_window': 'test_content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 3.45}"
2025-02-10 18:18:51,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:18:52,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:18:56,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:18:57,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:01,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:02,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:06,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:07,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:11,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:12,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:16,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:17,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:21,App Switch,"{'previous_window': 'test_content_manager.py - Workbench - Cursor', 'new_window': 'content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 30.06}"
2025-02-10 18:19:21,Work App Usage,{'window': 'content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:22,Work App Usage,{'window': 'content_manager.py - Workbench - Cursor'}
2025-02-10 18:19:26,App Switch,"{'previous_window': 'content_manager.py - Workbench - Cursor', 'new_window': 'test_content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 5.01}"
2025-02-10 18:19:26,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
